gtin,name,brand,pack_size,is_organic,banner,is_promo,retailer_category,first_seen_month
1181080563555,conad lenticchie medie 400 g,Conad,400 g,False,DiscountOra,True,ortofrutta legumi e cereali,2025-02
0589722887536,pesca noce bianca  i  aa esp.pd.,,,False,HyperMarket,True,ortofrutta frutta fresca,2025-02
0561074242925,mela  golden melinda calibro 70-75 italia i categoria kg 1.5,,,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
0584614230387,sapori & dintorni conad pera dell'emilia-romagna igp kaiser italia cal. 75/80 900 g,Sapori,900 g,False,CoopNord,False,ortofrutta frutta fresca,2025-02
0537092460387,"conad percorso qualita pere max red barlett cal. 70/75 0,750 kg",Conad,0.75 kg,False,CoopNord,False,ortofrutta frutta fresca,2025-02
0999114839408,percorso qualita mix rosette di broccoletti 400g conad,Percorso,400 g,False,SuperBuy,False,ortofrutta verdure,2025-02
1272915560291,cottin tavola ortaggi grigliati finocchi grigliati 230 g,Cottin,230 g,False,CoopNord,True,ortofrutta verdure,2025-02
0571690479459,conad cpq pesche bianche ct i cl a al kg,Conad,,False,CoopNord,True,ortofrutta frutta fresca,2025-02
0500941880934,f&v pere decana padel.za 70/80 cera la al kg,F&v,,False,CoopNord,False,ortofrutta frutta fresca,2025-02
1241671560809,insalata mista con carote e spinacino 220 g conad,,220 g,False,HyperMarket,False,ortofrutta verdure,2025-02
0599554249059,ciliege i 20+ita bio vs.500g,,500 g,True,HyperMarket,False,ortofrutta frutta fresca,2025-02
0777510702947,conad percorso qualita fragole italia cal. 22mm+ 250 g,Conad,250 g,False,DiscountOra,False,ortofrutta frutta fresca,2025-02
0531002101357,m.cripps pink lady 75/80 800g it.ic,,800 g,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
1318398440048,primia bevanda ananas e mela,Primia,,False,SuperBuy,True,"acqua, bevande, alcolici | succhi di frutta",2025-02
0590583633264,pere decana cat.i cal.85-90 orig.ndl,,,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
1331939120488,hello viva pineapple (fruit drink) 1 ltr,,,False,DiscountOra,True,juices & smoothies,2025-02
0509862225264,pesche percoche cal.a or.it.i cat.,,,False,HyperMarket,False,ortofrutta frutta fresca,2025-02
0543363147123,susina nera zuccherina 35+500g it.i,,500 g,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
1170409888102,fagioli borlotti biologici 300 g verso natura bio conad,,300 g,True,SuperBuy,False,ortofrutta legumi e cereali,2025-02
0587945839984,pesche tabacchiera cal.a it i cat,,,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
0258190636403,semi di zucca decorticati 150g verso natura bio,,150 g,True,HyperMarket,False,ortofrutta frutta e verdure biologiche,2025-02
0930515028332,latt.cappuccia i 150g.ita  rossa,,150 g,False,CoopNord,False,ortofrutta verdure,2025-02
0204033798499,capocollo dolce madeo s.v.,,,False,SuperBuy,False,formaggi e salumi salumi freschi,2025-02
0592547634544,pescabivona i  a ita igp cs.1kg,,1 kg,False,SuperBuy,True,ortofrutta frutta fresca,2025-02
0905949349478,f&v indivia liscia ct ii al pz,F&v,,False,CoopNord,False,ortofrutta verdure,2025-02
0233304453491,sapori & dintorni conad spianata piccante 0.90 kg,Sapori,0.9 kg,False,SuperBuy,False,formaggi e salumi salumi confezionati,2025-02
0763413162347,kiwi hayward nuova zelanda cal. 115/125 cat. l zespri,,,False,DiscountOra,False,ortofrutta frutta fresca,2025-02
0752954996579,cocomere crimson orig.italia,,,False,HyperMarket,False,ortofrutta frutta fresca,2025-02
0250097820272,prosciutto cotto cubetti conad gr 100 x2,,,False,DiscountOra,False,formaggi e salumi salumi confezionati,2025-02
0520084843888,pesche bianche cal.a cpq ita.i cat,,,False,HyperMarket,True,ortofrutta frutta fresca,2025-02
0947733270883,cicoria tagliata mazzi umbria it.ic,,,False,CoopNord,False,ortofrutta verdure,2025-02
0242947893858,bresaola valt.igp fr.&soffici conad,,,False,SuperBuy,False,formaggi e salumi salumi confezionati,2025-02
0943695237475,cavolfiore orig.italia,,,False,HyperMarket,True,ortofrutta verdure,2025-02
0564834589793,albicocche cal.50+ italia pad.i cat,,,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
0930767188323,cavolini bruxell.370g olanda icat,,370 g,False,SuperBuy,False,ortofrutta verdure,2025-02
0259935660403,"sapori & dintorni conad coppa artigianale 0,130 kg",Sapori,0.13 kg,False,CoopNord,False,formaggi e salumi salumi confezionati,2025-02
0902584310370,broccoletti ct.ii ita gr.500,,,False,HyperMarket,False,ortofrutta verdure,2025-02
0568427715952,pesca tabacchiera b 500g ita.i cat,,500 g,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
0912410276705,asparagi freschissimi italia i categoria gr 250,,,False,DiscountOra,False,ortofrutta verdure,2025-02
0251974996323,citterio la merenda bresaola della valtellina i.g.p. 30 g,Citterio,30 g,False,HyperMarket,False,formaggi e salumi salumi confezionati,2025-02
1348114952566,vitago orange drink,,,False,HyperMarket,True,juices,2025-02
0230124065139,sapori & dintorni conad tagliere toscano 0.120 kg,Sapori,0.12 kg,False,HyperMarket,False,formaggi e salumi salumi confezionati,2025-02
0287431569266,rovagnati i firmati prosciutto crudo stagionato a lungo in collina 95 g,,95 g,False,DiscountOra,False,formaggi e salumi salumi confezionati,2025-02
1145982205286,funghi porcini essicati vaschetta gr 50,,,False,CoopNord,False,ortofrutta verdure,2025-02
1310498332515,conad mix tropicale 250 ml,Conad,250 ml,False,SuperBuy,False,ortofrutta frutta fresca,2025-02
1214981834595,"colfiorito piatto fatto lenticchie, fagioli neri, orzo, farro, grano duro 250 g",Colfiorito,250 g,False,HyperMarket,True,ortofrutta legumi e cereali,2025-02
1296467138403,conad percorso qualita cuore di iceberg 200 g,Conad,200 g,False,SuperBuy,False,ortofrutta verdure,2025-02
0126193887075,coscio d'agnello italiano,,,False,SuperBuy,False,carne ovi-caprina,2025-02
