gtin,name,brand,pack_size,is_organic,banner,is_promo,retailer_category,coicop_code,coicop_title,first_seen_month
0552487298145,albicocche  i 45+ ita,,,False,DiscountOra,False,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
1595862830445,mevante montefalco sagrantino 75ml,,75 ml,False,CoopNord,False,wine,02.1.2.1,Wine from grapes,2025-01
0438190435942,f&v clementine foglia cat.i cl2/3 it al kg,F&v,,False,SuperBuy,False,ortofrutta frutta fresca,01.1.6.2,"Citrus fruits, fresh",2025-01
1541552613748,tall horse sauvignon blanc,,,False,CoopNord,False,wine,02.1.2.1,Wine from grapes,2025-01
0120177231715,coscio di capretto,,,False,SuperBuy,False,carne ovi-caprina,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
0276900185970,rosa dell'angelo salame felino igp,,,False,HyperMarket,False,formaggi e salumi salumi confezionati,01.1.2.3,"Meat, dried, salted, in brine or smoked",2025-01
0142541167731,stinco di suino .,,,False,HyperMarket,False,carne suina,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
0125296594787,costoletta di agnello conf.,,,False,HyperMarket,False,carne ovi-caprina,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
0275827319152,pancetta steccata salumificio piroli,,,False,HyperMarket,True,formaggi e salumi salumi stagionati,01.1.2.3,"Meat, dried, salted, in brine or smoked",2025-01
0861671879267,"cranberries, prugne, mandorle e nocciole 40 g conad",,40 g,False,CoopNord,False,ortofrutta frutta secca,01.1.6.9,"Fruits and nuts, ground, and in other preparations",2025-01
1585307114864,penfolds koonunga hill chardonnay,,,False,CoopNord,False,wine,02.1.2.1,Wine from grapes,2025-01
0115502727533,macinato per ragu di bovino adulto al kg,,,False,CoopNord,False,carne bovina,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
0925945529958,f&v indivia riccia ct ii al pz,F&v,,False,DiscountOra,False,ortofrutta verdure,01.1.7.1,"Leafy or stem vegetables, fresh or chilled",2025-01
1266706845539,conad mix & gusta mozzarella pomodoro datterino crostini 135 g,Conad,135 g,False,DiscountOra,True,ortofrutta verdure,01.1.9.1,Ready-made food,2025-01
0440858933104,pompelmi tris rossi jaffa s.afr.ict,,,False,SuperBuy,False,ortofrutta frutta fresca,01.1.6.2,"Citrus fruits, fresh",2025-01
1598474240615,grigolli vino marzemino doc,,,False,CoopNord,False,"acqua, bevande, alcolici | vini",02.1.2.1,Wine from grapes,2025-01
0127342785904,percorso qualita fettine di posteriore di vitello conad,Percorso,,False,SuperBuy,False,carne bovina,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
1225138209138,radicchio+valeriana bst 150 g cpq,,150 g,False,DiscountOra,True,ortofrutta verdure,01.1.9.1,Ready-made food,2025-01
0206836531315,speck alto adige igp freschi &convenienti conad,,,False,SuperBuy,False,formaggi e salumi salumi confezionati,01.1.2.3,"Meat, dried, salted, in brine or smoked",2025-01
0736374200683,kiwi zespri green 105/115 ita.i cat,,,False,HyperMarket,False,ortofrutta frutta fresca,01.1.6.5,"Other fruits, fresh",2025-01
0465644971875,"conad percorso qualita arance sanguinello italia cal. 9 2,5 kg",Conad,2.5 kg,False,HyperMarket,False,ortofrutta frutta fresca,01.1.6.2,"Citrus fruits, fresh",2025-01
0330139552115,salsiccia curva piccante 300 g sapori & dintorni conad,,300 g,False,DiscountOra,False,formaggi e salumi salumi stagionati,01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals",2025-01
0762444709473,anguria perla nera 4/6 fr.it. i cat,,,False,CoopNord,False,ortofrutta frutta fresca,01.1.6.5,"Other fruits, fresh",2025-01
1429060853857,ahmad tea darjeeling tea x20 tea bags,,,False,HyperMarket,False,beverages | coffee & tea,01.2.3.0,"Tea, maté and other plant-derived products for infusion",2025-01
0582858558832,pere abate cat. i cal. 65/70,,,False,DiscountOra,True,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
1377097677174,vital nature avena e cocco senza zuccheri aggiunti bio,,,True,SuperBuy,True,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,Fruit and vegetable juices,2025-01
0950767737697,asparagi colt.420g peru'v/aerea ict,,420 g,False,DiscountOra,False,ortofrutta verdure,01.1.7.1,"Leafy or stem vegetables, fresh or chilled",2025-01
0292542738803,sapori & dintorni conad prosciutto di parma dop stagionatura minima 24 mesi 0.100 kg,Sapori,0.1 kg,False,DiscountOra,False,formaggi e salumi salumi confezionati,01.1.2.3,"Meat, dried, salted, in brine or smoked",2025-01
1043718051696,"pomodoro datterino italia 0,250 kg verso natura conad",,0.25 kg,True,HyperMarket,False,ortofrutta frutta e verdure biologiche,01.1.7.2,"Fruit-bearing vegetables, fresh or chilled",2025-01
0239443311206,fratelli beretta salamini classico 85 g,Fratelli,85 g,False,SuperBuy,True,formaggi e salumi salumi confezionati,01.1.2.3,"Meat, dried, salted, in brine or smoked",2025-01
1508115610937,958 spritz,,,False,DiscountOra,False,"vini, birra e liquori | liquori",02.1.2.1,Wine from grapes,2025-01
1506133963124,tavernello prisma white italia 1ltr,,,False,DiscountOra,False,drinks | wine | white wine,02.1.2.1,Wine from grapes,2025-01
0586176306544,pesche bianche cal.b italia i cat,,,False,HyperMarket,False,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
0514815612272,pesche bianche italia cal. b cat. i,,,False,HyperMarket,False,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
0165312734576,petto di pollo intero conad percorso qualita',,,False,SuperBuy,False,carne avicunicola,01.1.2.2,"Meat, fresh, chilled or frozen",2025-01
0570364974448,pesche bianche aaa terre sabine italia i cat,,,False,SuperBuy,False,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
1598431098723,codici puglia igp negroamaro  x,,,False,CoopNord,True,wine,02.1.2.1,Wine from grapes,2025-01
0318405484897,aia wudy classico 250 g,Aia,250 g,False,SuperBuy,False,formaggi e salumi salumi confezionati,01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals",2025-01
0583931010416,pere abate cal.55/65 kg.1 it.ii cat,,,False,SuperBuy,False,ortofrutta frutta fresca,01.1.6.3,"Stone fruits and pome fruits, fresh",2025-01
0980087449954,bietoline 500 g percorso qualita conad,,500 g,False,HyperMarket,False,ortofrutta verdure,01.1.7.1,"Leafy or stem vegetables, fresh or chilled",2025-01
1552875151970,broken back shiraz 75cl,,75 cl,False,DiscountOra,False,drinks | wine | red wine,02.1.2.1,Wine from grapes,2025-01
1518840407399,gewurztraminer doc,,,False,CoopNord,True,"vini, birra e liquori | vini",02.1.2.1,Wine from grapes,2025-01
0753477799277,melone retato,,,False,SuperBuy,True,ortofrutta frutta fresca,01.1.6.5,"Other fruits, fresh",2025-01
1555285389676,linibarj cannonau di sardegna doc 750 ml,,750 ml,False,DiscountOra,False,"acqua, bevande, alcolici | vini",02.1.2.1,Wine from grapes,2025-01
1579631116662,vincenzi vermouth rosso di torino camillo 750 ml,,750 ml,False,SuperBuy,False,"acqua, bevande, alcolici | liquori",02.1.2.1,Wine from grapes,2025-01
